위치,거리,구
광주-기타,29,광주
광주-산성동,24,광주
광주-오포읍,20,광주
기타-금광동,25,중원구
기타-기타,17,성남
기타-비조합원,17,성남
기타-은행동,27,중원구
기타-태평동,20,수정구
기흥구-공세동,24,기흥구
기흥구-구갈동,22,기흥구
기흥구-기타,18,기흥구
기흥구-동백동,22,기흥구
기흥구-마북동,15,기흥구
기흥구-보라동,20,기흥구
기흥구-보정동,10,기흥구
기흥구-상갈동,21,기흥구
기흥구-상하동,22,기흥구
기흥구-서천동,27,기흥구
기흥구-신갈동,14,기흥구
기흥구-언남동,15,기흥구
기흥구-영덕동,17,기흥구
기흥구-죽전동,10,기흥구
기흥구-중동,22,기흥구
기흥구-지곡동,27,기흥구
기흥구-청덕동,18,기흥구
분당구-구미동,14,분당구
분당구-궁내동,12,분당구
분당구-금곡동,8,분당구
분당구-기타,15,분당구
분당구-백현동,14,분당구
분당구-분당동,16,분당구
분당구-삼평동,15,분당구
분당구-서현동,19,분당구
분당구-수내동,16,분당구
분당구-야탑동,19,분당구
분당구-이매동,14,분당구
분당구-정자동,11,분당구
분당구-중동,22,분당구
분당구-판교동,13,분당구
서울 강남구-기타,30,서울 강남구
서울 송파구-기타,29,서울 송파구
수원 권선구-기타,31,서울 권선구
수원 영통구-기타,19,수원 영통구
수원 장안구-기타,27,수원 장안구
수원 팔달구-기타,20,수원 팔달구
수정구-기타,24,수정구
수정구-복정동,20,수정구
수정구-상대원동,20,수정구
수정구-신흥동,21,수정구
수정구-위례(창곡)동,26,수정구
수정구-태평동,19,수정구
수지구-기타,7,수지구
수지구-동천동,3,수지구
수지구-상현동,14,수지구
수지구-성복동,13,수지구
수지구-신봉동,7,수지구
수지구-죽전동,10,수지구
수지구-풍덕천동,7,수지구
중원구-금광동,23,중원구
중원구-도촌동,18,중원구
중원구-산성동,23,중원구
중원구-성남동,17,중원구
중원구-여수동,17,중원구
처인구-고림동,23,처인구
처인구-기타,26,처인구
처인구-김량장동,26,처인구
처인구-모현면,25,처인구
처인구-삼가동,21,처인구
처인구-역북동,24,처인구
처인구-원삼면,45,처인구
처인구-이동면,31,처인구
하남-기타,34,하남
화성-기타,51,화성
